location,geographic_region,sub_region,incidence_rate,case_count,year
New York City,North America,United States,100.0,10000.0,2023
London,Europe,United Kingdom,50.0,5000.0,2023
Tokyo,Asia,Japan,25.0,2500.0,2023
Paris,Europe,France,15.0,1500.0,2023
Berlin,Europe,Germany,10.0,1000.0,2023
Rome,Europe,Italy,5.0,500.0,2023
Madrid,Europe,Spain,2.0,200.0,2023
Beijing,Asia,China,1.0,100.0,2023
Sydney,Australia,Australia,0.5,50.0,2023
Melbourne,Australia,Australia,0.25,25.0,2023
Adelaide,Australia,Australia,0.125,12.5,2023
