Date,Brent Crude Oil Price,Dubai Crude Oil Price,Arabica Coffee Price,Robusta Coffee Price,Colombo Tea Price,Kolkata Tea Price,Mombasa Tea Price,European Sugar Price,US Sugar Price,World Sugar Price
2023-06-01,100,90,150,120,200,180,160,250,220,230
2023-06-02,110,100,160,130,210,190,170,260,230,240
2023-06-03,120,110,170,140,220,200,180,270,240,250
2023-06-04,130,120,180,150,230,210,190,280,250,260
2023-06-05,140,130,190,160,240,220,200,290,260,270
2023-06-06,150,140,200,170,250,230,210,300,270,280
2023-06-07,160,150,210,180,260,240,220,310,280,290
2023-06-08,170,160,220,190,270,250,230,320,290,300
2023-06-09,180,170,230,200,280,260,240,330,300,310
2023-06-10,190,180,240,210,290,270,250,340,310,320
