date,north_sea_oil_price,gulf_of_oman_oil_price,arabica_coffee_price,robusta_coffee_price,colombo_tea_price,kolkata_tea_price,mombasa_tea_price,eu_sugar_price,us_sugar_price,global_sugar_price
2023-06-01,100,110,200,180,150,170,190,210,220,230
2023-06-02,90,100,190,170,140,160,180,200,210,220
2023-06-03,80,90,180,160,130,150,170,190,200,210
2023-06-04,70,80,170,150,120,140,160,180,190,200
2023-06-05,60,70,160,140,110,130,150,170,180,190
2023-06-06,50,60,150,130,100,120,140,160,170,180
2023-06-07,40,50,140,120,90,110,130,150,160,170
2023-06-08,30,40,130,110,80,100,120,140,150,160
2023-06-09,20,30,120,100,70,90,110,130,140,150
2023-06-10,10,20,110,90,60,80,100,120,130,140
