Targeted Area,Muscle Group,Exercise,Workout Time,Reps
Chest,Chest,Bench Press,30 minutes,10
Chest,Chest,Incline Dumbbell Press,20 minutes,12
Chest,Chest,Decline Dumbbell Press,20 minutes,12
Chest,Chest,Push-ups,10 minutes,20
Chest,Chest,Chest Flyes,10 minutes,15
Back,Back,Pull-ups,10 minutes,10
Back,Back,Seated Cable Rows,20 minutes,12
Back,Back,Lat Pulldowns,20 minutes,12
Back,Back,Bicep Curls,10 minutes,15
Back,Back,Triceps Extensions,10 minutes,15
Legs,Quadriceps,Squats,30 minutes,10
Legs,Quadriceps,Leg Press,20 minutes,12
Legs,Hamstrings,Deadlifts,20 minutes,12
Legs,Hamstrings,Leg Curls,10 minutes,15
Legs,Calves,Calf Raises,10 minutes,20
Shoulders,Shoulders,Overhead Press,30 minutes,10
Shoulders,Shoulders,Lateral Raises,20 minutes,12
Shoulders,Shoulders,Front Raises,20 minutes,12
Shoulders,Shoulders,Face Pulls,10 minutes,15
Arms,Biceps,Bicep Curls,10 minutes,15
Arms,Triceps,Triceps Extensions,10 minutes,15
Core,Abs,Crunches,10 minutes,20
Core,Abs,Leg Raises,10 minutes,20
Core,Abs,Plank,10 minutes,30
Core,Back,Superman,10 minutes,10
Core,Back,Bird Dog,10 minutes,10
