Date,North Sea Oil,Gulf of Oman Oil,Arabica Coffee Price,Robusta Coffee Price,Colombo Tea Price,Kolkata Tea Price,Mombasa Tea Price,European Sugar Price,US Sugar Price,World Sugar Price
2023-06-01,100,90,15,12,20,18,16,17,15,16
2023-06-02,105,85,14,11,21,17,15,18,14,15
2023-06-03,110,80,13,10,22,16,14,19,13,14
2023-06-04,115,75,12,9,23,15,13,20,12,13
2023-06-05,120,70,11,8,24,14,12,21,11,12
2023-06-06,125,65,10,7,25,13,11,22,10,11
2023-06-07,130,60,9,6,26,12,10,23,9,10
2023-06-08,135,55,8,5,27,11,9,24,8,9
2023-06-09,140,50,7,4,28,10,8,25,7,8
2023-06-10,145,45,6,3,29,9,7,26,6,7
