Date,Brent Crude Oil,Dubai Crude Oil,Arabica Coffee,Robusta Coffee,Colombo Tea,Kolkata Tea,Mombasa Tea,European Sugar,US Sugar,World Sugar
2023-06-01,100,90,150,120,10,20,30,40,50,60
2023-06-02,110,100,160,130,11,21,31,41,51,61
2023-06-03,120,110,170,140,12,22,32,42,52,62
2023-06-04,130,120,180,150,13,23,33,43,53,63
2023-06-05,140,130,190,160,14,24,34,44,54,64
2023-06-06,150,140,200,170,15,25,35,45,55,65
2023-06-07,160,150,210,180,16,26,36,46,56,66
2023-06-08,170,160,220,190,17,27,37,47,57,67
2023-06-09,180,170,230,200,18,28,38,48,58,68
2023-06-10,190,180,240,210,19,29,39,49,59,69
