date,brent_crude_oil,dubai_crude_oil,arabica_coffee,robusta_coffee,colombo_tea,kolkata_tea,mombasa_tea,european_sugar,us_sugar,world_sugar
2023-06-01,100,90,150,120,100,110,90,120,130,140
2023-06-02,90,80,140,110,90,100,80,110,120,130
2023-06-03,80,70,130,100,80,90,70,100,110,120
2023-06-04,70,60,120,90,70,80,60,90,100,110
2023-06-05,60,50,110,80,60,70,50,80,90,100
2023-06-06,50,40,100,70,50,60,40,70,80,90
2023-06-07,40,30,90,60,40,50,30,60,70,80
2023-06-08,30,20,80,50,30,40,20,50,60,70
2023-06-09,20,10,70,40,20,30,10,40,50,60
2023-06-10,10,0,60,30,10,20,0,30,40,50
